sample_index,original_orientation,orientation,time_ms,calibrated_z_g,ideal_z_g,signed_error_g
162,+X,-Y,66032,-0.011823336,0.0,-0.011823336
163,+X,-Y,66113,-0.010839411,0.0,-0.010839411
164,+X,-Y,66192,-0.007887636,0.0,-0.007887636
165,+X,-Y,66272,-0.014775112,0.0,-0.014775112
166,+X,-Y,66353,-0.013791186,0.0,-0.013791186
167,+X,-Y,66432,-0.010839411,0.0,-0.010839411
168,+X,-Y,66513,-0.014775112,0.0,-0.014775112
169,+X,-Y,66592,-0.007887636,0.0,-0.007887636
170,+X,-Y,66673,-0.005919786,0.0,-0.005919786
171,+X,-Y,66752,-0.001000160,0.0,-0.001000160
172,+X,-Y,66833,-0.013791186,0.0,-0.013791186
173,+X,-Y,66912,-0.007887636,0.0,-0.007887636
174,+X,-Y,66992,-0.007887636,0.0,-0.007887636
175,+X,-Y,67073,-0.007887636,0.0,-0.007887636
176,+X,-Y,67152,-0.000016235,0.0,-0.000016235
177,+X,-Y,67233,-0.003951935,0.0,-0.003951935
178,+X,-Y,67312,-0.010839411,0.0,-0.010839411
179,+X,-Y,67393,-0.014775112,0.0,-0.014775112
180,+X,-Y,67472,-0.010839411,0.0,-0.010839411
181,+X,-Y,67553,-0.003951935,0.0,-0.003951935
182,+X,-Y,67632,-0.006903711,0.0,-0.006903711
183,+X,-Y,67712,-0.010839411,0.0,-0.010839411
184,+X,-Y,67793,-0.010839411,0.0,-0.010839411
185,+X,-Y,67872,-0.015759037,0.0,-0.015759037
186,+X,-Y,67953,-0.015759037,0.0,-0.015759037
187,+X,-Y,68032,-0.013791186,0.0,-0.013791186
188,+X,-Y,68113,-0.014775112,0.0,-0.014775112
189,+X,-Y,68192,-0.014775112,0.0,-0.014775112
190,+X,-Y,68273,-0.008871561,0.0,-0.008871561
191,+X,-Y,68352,-0.005919786,0.0,-0.005919786
192,+X,-Y,68432,-0.000016235,0.0,-0.000016235
193,+X,-Y,68513,-0.005919786,0.0,-0.005919786
194,+X,-Y,68592,-0.005919786,0.0,-0.005919786
195,+X,-Y,68673,-0.008871561,0.0,-0.008871561
196,+X,-Y,68752,-0.003951935,0.0,-0.003951935
197,+X,-Y,68833,-0.006903711,0.0,-0.006903711
198,+X,-Y,68912,-0.006903711,0.0,-0.006903711
199,+X,-Y,68993,-0.007887636,0.0,-0.007887636
200,+X,-Y,69072,-0.010839411,0.0,-0.010839411
201,+X,-Y,69152,-0.014775112,0.0,-0.014775112
202,+X,-Y,69233,-0.007887636,0.0,-0.007887636
203,+X,-Y,69312,-0.007887636,0.0,-0.007887636
204,+X,-Y,69393,-0.007887636,0.0,-0.007887636
205,+X,-Y,69472,-0.008871561,0.0,-0.008871561
206,+X,-Y,69553,-0.007887636,0.0,-0.007887636
207,+X,-Y,69632,-0.000016235,0.0,-0.000016235
208,+X,-Y,69713,-0.003951935,0.0,-0.003951935
209,+X,-Y,69792,-0.007887636,0.0,-0.007887636
210,+X,-Y,69872,-0.007887636,0.0,-0.007887636
211,+X,-Y,69953,-0.008871561,0.0,-0.008871561
212,+X,-Y,70032,-0.014775112,0.0,-0.014775112
213,+X,-Y,70113,-0.000016235,0.0,-0.000016235
214,+X,-Y,70192,-0.010839411,0.0,-0.010839411
215,+X,-Y,70273,-0.008871561,0.0,-0.008871561
216,+X,-Y,70352,-0.010839411,0.0,-0.010839411
217,+X,-Y,70433,-0.003951935,0.0,-0.003951935
218,+X,-Y,70512,-0.007887636,0.0,-0.007887636
219,+X,-Y,70592,-0.003951935,0.0,-0.003951935
220,+X,-Y,70673,-0.007887636,0.0,-0.007887636
221,+X,-Y,70752,-0.001000160,0.0,-0.001000160
222,+X,-Y,70833,-0.001000160,0.0,-0.001000160
223,+X,-Y,70912,-0.008871561,0.0,-0.008871561
224,+X,-Y,70993,-0.007887636,0.0,-0.007887636
225,+X,-Y,71072,-0.008871561,0.0,-0.008871561
226,+X,-Y,71153,-0.010839411,0.0,-0.010839411
227,+X,-Y,71232,-0.000016235,0.0,-0.000016235
228,+X,-Y,71312,-0.000016235,0.0,-0.000016235
229,+X,-Y,71393,-0.000016235,0.0,-0.000016235
230,+X,-Y,71472,0.006871241,0.0,0.006871241
231,+X,-Y,71553,-0.007887636,0.0,-0.007887636
232,+X,-Y,71632,-0.003951935,0.0,-0.003951935
233,+X,-Y,71713,-0.002968010,0.0,-0.002968010
234,+X,-Y,71792,-0.008871561,0.0,-0.008871561
235,+X,-Y,71872,-0.008871561,0.0,-0.008871561
236,+X,-Y,71953,-0.008871561,0.0,-0.008871561
237,+X,-Y,72032,-0.000016235,0.0,-0.000016235
238,+X,-Y,72113,0.008839091,0.0,0.008839091
239,+X,-Y,72192,-0.007887636,0.0,-0.007887636
240,+X,-Y,72273,-0.006903711,0.0,-0.006903711
241,+X,-Y,72352,-0.007887636,0.0,-0.007887636
242,+X,-Y,72433,0.004903391,0.0,0.004903391
243,+X,-Y,72512,0.000967690,0.0,0.000967690
244,+X,-Y,72593,-0.007887636,0.0,-0.007887636
245,+X,-Y,72672,-0.006903711,0.0,-0.006903711
246,+X,-Y,72752,-0.006903711,0.0,-0.006903711
247,+X,-Y,72833,-0.006903711,0.0,-0.006903711
248,+X,-Y,72912,-0.010839411,0.0,-0.010839411
249,+X,-Y,72993,-0.015759037,0.0,-0.015759037
250,+X,-Y,73072,-0.001000160,0.0,-0.001000160
251,+X,-Y,73153,-0.011823336,0.0,-0.011823336
252,+X,-Y,73232,-0.010839411,0.0,-0.010839411
253,+X,-Y,73313,-0.006903711,0.0,-0.006903711
254,+X,-Y,73392,-0.007887636,0.0,-0.007887636
255,+X,-Y,73473,-0.007887636,0.0,-0.007887636
256,+X,-Y,73552,-0.005919786,0.0,-0.005919786
257,+X,-Y,73632,-0.010839411,0.0,-0.010839411
258,+X,-Y,73713,-0.013791186,0.0,-0.013791186
259,+X,-Y,73792,-0.013791186,0.0,-0.013791186
260,+X,-Y,73873,-0.008871561,0.0,-0.008871561
261,+X,-Y,73952,-0.000016235,0.0,-0.000016235
262,+X,-Y,74033,-0.010839411,0.0,-0.010839411
263,+X,-Y,74112,-0.003951935,0.0,-0.003951935
264,+X,-Y,74193,-0.006903711,0.0,-0.006903711
265,+X,-Y,74272,-0.010839411,0.0,-0.010839411
266,+X,-Y,74352,-0.005919786,0.0,-0.005919786
267,+X,-Y,74433,-0.007887636,0.0,-0.007887636
268,+X,-Y,74512,-0.016742962,0.0,-0.016742962
269,+X,-Y,74593,-0.010839411,0.0,-0.010839411
270,+X,-Y,74672,-0.013791186,0.0,-0.013791186
271,+X,-Y,74753,-0.013791186,0.0,-0.013791186
272,+X,-Y,74832,-0.014775112,0.0,-0.014775112
273,+X,-Y,74913,-0.007887636,0.0,-0.007887636
274,+X,-Y,74992,-0.003951935,0.0,-0.003951935
275,+X,-Y,75072,-0.008871561,0.0,-0.008871561
276,+X,-Y,75152,-0.007887636,0.0,-0.007887636
277,+X,-Y,75232,-0.011823336,0.0,-0.011823336
278,+X,-Y,75313,-0.003951935,0.0,-0.003951935
279,+X,-Y,75392,-0.005919786,0.0,-0.005919786
280,+X,-Y,75473,-0.008871561,0.0,-0.008871561
281,+X,-Y,75552,-0.008871561,0.0,-0.008871561
282,+X,-Y,75633,-0.010839411,0.0,-0.010839411
283,+X,-Y,75712,-0.010839411,0.0,-0.010839411
284,+X,-Y,75793,-0.014775112,0.0,-0.014775112
285,+X,-Y,75872,-0.003951935,0.0,-0.003951935
286,+X,-Y,75952,-0.010839411,0.0,-0.010839411
287,+X,-Y,76032,-0.010839411,0.0,-0.010839411
288,+X,-Y,76112,-0.010839411,0.0,-0.010839411
289,+X,-Y,76193,-0.003951935,0.0,-0.003951935
290,+X,-Y,76272,-0.007887636,0.0,-0.007887636
291,+X,-Y,76353,-0.005919786,0.0,-0.005919786
292,+X,-Y,76432,-0.000016235,0.0,-0.000016235
293,+X,-Y,76513,-0.010839411,0.0,-0.010839411
294,+X,-Y,76592,-0.001000160,0.0,-0.001000160
295,+X,-Y,76672,-0.001000160,0.0,-0.001000160
296,+X,-Y,76752,-0.011823336,0.0,-0.011823336
297,+X,-Y,76832,-0.011823336,0.0,-0.011823336
298,+X,-Y,76913,-0.013791186,0.0,-0.013791186
299,+X,-Y,76992,-0.007887636,0.0,-0.007887636
300,+X,-Y,77073,-0.015759037,0.0,-0.015759037
301,+X,-Y,77152,-0.000016235,0.0,-0.000016235
302,+X,-Y,77233,-0.013791186,0.0,-0.013791186
303,+X,-Y,77312,-0.014775112,0.0,-0.014775112
304,+X,-Y,77392,-0.006903711,0.0,-0.006903711
305,+X,-Y,77472,-0.002968010,0.0,-0.002968010
306,+X,-Y,77552,0.000967690,0.0,0.000967690
307,+X,-Y,77633,-0.000016235,0.0,-0.000016235
308,+X,-Y,77712,-0.000016235,0.0,-0.000016235
309,+X,-Y,77793,-0.003951935,0.0,-0.003951935
310,+X,-Y,77872,-0.010839411,0.0,-0.010839411
311,+X,-Y,77953,-0.014775112,0.0,-0.014775112
312,+X,-Y,78032,-0.008871561,0.0,-0.008871561
313,+X,-Y,78112,-0.003951935,0.0,-0.003951935
314,+X,-Y,78192,-0.004935860,0.0,-0.004935860
315,+X,-Y,78272,-0.003951935,0.0,-0.003951935
316,+X,-Y,78353,-0.010839411,0.0,-0.010839411
317,+X,-Y,78432,-0.000016235,0.0,-0.000016235
318,+X,-Y,78513,-0.010839411,0.0,-0.010839411
319,+X,-Y,78592,-0.014775112,0.0,-0.014775112
320,+X,-Y,78673,-0.014775112,0.0,-0.014775112
321,+X,-Y,78752,-0.002968010,0.0,-0.002968010
322,+X,-Y,78832,-0.010839411,0.0,-0.010839411
323,+X,-Y,78912,-0.014775112,0.0,-0.014775112
324,+X,-Y,78992,-0.015759037,0.0,-0.015759037
325,+X,-Y,79073,-0.016742962,0.0,-0.016742962
326,+X,-Y,79152,-0.008871561,0.0,-0.008871561
327,+X,-Y,79233,-0.010839411,0.0,-0.010839411
328,+X,-Y,79312,-0.007887636,0.0,-0.007887636
329,+X,-Y,79393,-0.001000160,0.0,-0.001000160
330,+X,-Y,79472,-0.007887636,0.0,-0.007887636
331,+X,-Y,79552,-0.013791186,0.0,-0.013791186
332,+X,-Y,79632,-0.013791186,0.0,-0.013791186
333,+X,-Y,79712,-0.000016235,0.0,-0.000016235
334,+X,-Y,79793,0.000967690,0.0,0.000967690
335,+X,-Y,79872,-0.007887636,0.0,-0.007887636
336,+X,-Y,79953,-0.008871561,0.0,-0.008871561
337,+X,-Y,80032,-0.008871561,0.0,-0.008871561
338,+X,-Y,80113,-0.003951935,0.0,-0.003951935
339,+X,-Y,80192,-0.010839411,0.0,-0.010839411
340,+X,-Y,80273,-0.007887636,0.0,-0.007887636
341,+X,-Y,80352,0.000967690,0.0,0.000967690
342,+X,-Y,80432,-0.006903711,0.0,-0.006903711
343,+X,-Y,80513,-0.010839411,0.0,-0.010839411
344,+X,-Y,80592,-0.010839411,0.0,-0.010839411
345,+X,-Y,80673,-0.005919786,0.0,-0.005919786
346,+X,-Y,80752,-0.003951935,0.0,-0.003951935
347,+X,-Y,80833,-0.007887636,0.0,-0.007887636
348,+X,-Y,80912,-0.013791186,0.0,-0.013791186
349,+X,-Y,80992,-0.014775112,0.0,-0.014775112
350,+X,-Y,81072,-0.008871561,0.0,-0.008871561
351,+X,-Y,81152,-0.005919786,0.0,-0.005919786
352,+X,-Y,81233,-0.006903711,0.0,-0.006903711
353,+X,-Y,81312,-0.002968010,0.0,-0.002968010
354,+X,-Y,81393,-0.001000160,0.0,-0.001000160
355,+X,-Y,81472,-0.005919786,0.0,-0.005919786
356,+X,-Y,81553,-0.005919786,0.0,-0.005919786
357,+X,-Y,81632,-0.007887636,0.0,-0.007887636
358,+X,-Y,81712,-0.005919786,0.0,-0.005919786
359,+X,-Y,81792,-0.008871561,0.0,-0.008871561
360,+X,-Y,81872,-0.005919786,0.0,-0.005919786
361,+X,-Y,81953,-0.014775112,0.0,-0.014775112
362,+X,-Y,82032,-0.007887636,0.0,-0.007887636
363,+X,-Y,82113,-0.008871561,0.0,-0.008871561
364,+X,-Y,82192,-0.011823336,0.0,-0.011823336
365,+X,-Y,82273,0.000967690,0.0,0.000967690
366,+X,-Y,82352,-0.000016235,0.0,-0.000016235
367,+X,-Y,82433,-0.010839411,0.0,-0.010839411
368,+X,-Y,82512,-0.010839411,0.0,-0.010839411
369,+X,-Y,82592,-0.003951935,0.0,-0.003951935
370,+X,-Y,82673,-0.007887636,0.0,-0.007887636
371,+X,-Y,82752,-0.008871561,0.0,-0.008871561
372,+X,-Y,82833,-0.007887636,0.0,-0.007887636
373,+X,-Y,82912,-0.005919786,0.0,-0.005919786
374,+X,-Y,82993,-0.010839411,0.0,-0.010839411
375,+X,-Y,83072,-0.007887636,0.0,-0.007887636
376,+X,-Y,83152,-0.014775112,0.0,-0.014775112
377,+X,-Y,83233,-0.006903711,0.0,-0.006903711
378,+X,-Y,83312,-0.003951935,0.0,-0.003951935
379,+X,-Y,83393,-0.010839411,0.0,-0.010839411
380,+X,-Y,83472,-0.007887636,0.0,-0.007887636
381,+X,-Y,83553,-0.007887636,0.0,-0.007887636
382,+X,-Y,83632,0.001951615,0.0,0.001951615
383,+X,-Y,83713,0.000967690,0.0,0.000967690
384,+X,-Y,83792,-0.007887636,0.0,-0.007887636
385,+X,-Y,83873,-0.007887636,0.0,-0.007887636
386,+X,-Y,83952,-0.005919786,0.0,-0.005919786
387,+X,-Y,84032,0.007855166,0.0,0.007855166
388,+X,-Y,84113,-0.008871561,0.0,-0.008871561
389,+X,-Y,84192,-0.010839411,0.0,-0.010839411
390,+X,-Y,84273,-0.010839411,0.0,-0.010839411
391,+X,-Y,84352,-0.014775112,0.0,-0.014775112
392,+X,-Y,84433,-0.008871561,0.0,-0.008871561
393,+X,-Y,84512,-0.008871561,0.0,-0.008871561
394,+X,-Y,84593,-0.007887636,0.0,-0.007887636
395,+X,-Y,84672,-0.008871561,0.0,-0.008871561
396,+X,-Y,84752,-0.007887636,0.0,-0.007887636
397,+X,-Y,84833,-0.010839411,0.0,-0.010839411
398,+X,-Y,84912,-0.007887636,0.0,-0.007887636
399,+X,-Y,84993,-0.001000160,0.0,-0.001000160
400,+X,-Y,85072,-0.008871561,0.0,-0.008871561
401,+X,-Y,85153,-0.010839411,0.0,-0.010839411
402,+X,-Y,85232,-0.006903711,0.0,-0.006903711
403,+X,-Y,85313,-0.005919786,0.0,-0.005919786
404,+X,-Y,85392,-0.001000160,0.0,-0.001000160
405,+X,-Y,85472,-0.001000160,0.0,-0.001000160
406,+X,-Y,85553,-0.010839411,0.0,-0.010839411
407,+X,-Y,85632,0.006871241,0.0,0.006871241
408,+X,-Y,85713,-0.003951935,0.0,-0.003951935
409,+X,-Y,85792,-0.010839411,0.0,-0.010839411
410,+X,-Y,85873,-0.015759037,0.0,-0.015759037
411,+X,-Y,85952,-0.010839411,0.0,-0.010839411
412,+X,-Y,86033,-0.014775112,0.0,-0.014775112
413,+X,-Y,86112,-0.010839411,0.0,-0.010839411
414,+X,-Y,86192,-0.008871561,0.0,-0.008871561
415,+X,-Y,86273,-0.010839411,0.0,-0.010839411
416,+X,-Y,86352,-0.000016235,0.0,-0.000016235
417,+X,-Y,86433,-0.000016235,0.0,-0.000016235
418,+X,-Y,86512,0.000967690,0.0,0.000967690
419,+X,-Y,86593,-0.008871561,0.0,-0.008871561
420,+X,-Y,86672,-0.007887636,0.0,-0.007887636
421,+X,-Y,86753,-0.001000160,0.0,-0.001000160
422,+X,-Y,86832,-0.007887636,0.0,-0.007887636
423,+X,-Y,86912,-0.002968010,0.0,-0.002968010
424,+X,-Y,86993,-0.000016235,0.0,-0.000016235
425,+X,-Y,87072,-0.007887636,0.0,-0.007887636
426,+X,-Y,87153,-0.011823336,0.0,-0.011823336
427,+X,-Y,87232,-0.005919786,0.0,-0.005919786
428,+X,-Y,87313,-0.010839411,0.0,-0.010839411
429,+X,-Y,87392,-0.010839411,0.0,-0.010839411
430,+X,-Y,87473,-0.004935860,0.0,-0.004935860
431,+X,-Y,87552,-0.008871561,0.0,-0.008871561
432,+X,-Y,87632,-0.014775112,0.0,-0.014775112
433,+X,-Y,87713,-0.015759037,0.0,-0.015759037
434,+X,-Y,87792,-0.014775112,0.0,-0.014775112
435,+X,-Y,87873,0.000967690,0.0,0.000967690
436,+X,-Y,87952,-0.006903711,0.0,-0.006903711
437,+X,-Y,88033,-0.000016235,0.0,-0.000016235
438,+X,-Y,88112,-0.007887636,0.0,-0.007887636
439,+X,-Y,88193,-0.005919786,0.0,-0.005919786
440,+X,-Y,88272,-0.010839411,0.0,-0.010839411
441,+X,-Y,88352,-0.010839411,0.0,-0.010839411
442,+X,-Y,88433,-0.007887636,0.0,-0.007887636
443,+X,-Y,88512,-0.001000160,0.0,-0.001000160
444,+X,-Y,88593,-0.010839411,0.0,-0.010839411
445,+X,-Y,88672,-0.006903711,0.0,-0.006903711
446,+X,-Y,88753,-0.005919786,0.0,-0.005919786
447,+X,-Y,88832,-0.002968010,0.0,-0.002968010
448,+X,-Y,88913,-0.007887636,0.0,-0.007887636
449,+X,-Y,88992,-0.007887636,0.0,-0.007887636
450,+X,-Y,89073,-0.006903711,0.0,-0.006903711
451,+X,-Y,89152,-0.007887636,0.0,-0.007887636
452,+X,-Y,89232,-0.001000160,0.0,-0.001000160
453,+X,-Y,89313,-0.003951935,0.0,-0.003951935
454,+X,-Y,89392,-0.003951935,0.0,-0.003951935
455,+X,-Y,89473,0.000967690,0.0,0.000967690
456,+X,-Y,89552,-0.014775112,0.0,-0.014775112
457,+X,-Y,89633,-0.010839411,0.0,-0.010839411
458,+X,-Y,89712,-0.010839411,0.0,-0.010839411
459,+X,-Y,89793,-0.003951935,0.0,-0.003951935
460,+X,-Y,89872,-0.000016235,0.0,-0.000016235
461,+X,-Y,89952,-0.003951935,0.0,-0.003951935
462,+X,-Y,90033,-0.000016235,0.0,-0.000016235
