sample_index,original_orientation,orientation,time_ms,uncalibrated_y_g,ideal_y_g,signed_error_g
106,+X,-Y,61552,-1.117000000,-1.0,-0.117000000
107,+X,-Y,61633,-1.121000000,-1.0,-0.121000000
108,+X,-Y,61712,-1.122000000,-1.0,-0.122000000
109,+X,-Y,61792,-1.124000000,-1.0,-0.124000000
110,+X,-Y,61872,-1.128000000,-1.0,-0.128000000
111,+X,-Y,61952,-1.121000000,-1.0,-0.121000000
112,+X,-Y,62033,-1.124000000,-1.0,-0.124000000
113,+X,-Y,62112,-1.124000000,-1.0,-0.124000000
114,+X,-Y,62193,-1.122000000,-1.0,-0.122000000
115,+X,-Y,62272,-1.129000000,-1.0,-0.129000000
116,+X,-Y,62353,-1.127000000,-1.0,-0.127000000
117,+X,-Y,62432,-1.122000000,-1.0,-0.122000000
118,+X,-Y,62513,-1.124000000,-1.0,-0.124000000
119,+X,-Y,62592,-1.121000000,-1.0,-0.121000000
120,+X,-Y,62672,-1.124000000,-1.0,-0.124000000
121,+X,-Y,62753,-1.128000000,-1.0,-0.128000000
122,+X,-Y,62832,-1.127000000,-1.0,-0.127000000
123,+X,-Y,62913,-1.124000000,-1.0,-0.124000000
124,+X,-Y,62992,-1.137000000,-1.0,-0.137000000
125,+X,-Y,63073,-1.137000000,-1.0,-0.137000000
126,+X,-Y,63152,-1.117000000,-1.0,-0.117000000
127,+X,-Y,63233,-1.127000000,-1.0,-0.127000000
128,+X,-Y,63312,-1.128000000,-1.0,-0.128000000
129,+X,-Y,63392,-1.121000000,-1.0,-0.121000000
130,+X,-Y,63472,-1.127000000,-1.0,-0.127000000
131,+X,-Y,63552,-1.114000000,-1.0,-0.114000000
132,+X,-Y,63633,-1.124000000,-1.0,-0.124000000
133,+X,-Y,63712,-1.122000000,-1.0,-0.122000000
134,+X,-Y,63793,-1.121000000,-1.0,-0.121000000
135,+X,-Y,63872,-1.124000000,-1.0,-0.124000000
136,+X,-Y,63953,-1.124000000,-1.0,-0.124000000
137,+X,-Y,64032,-1.124000000,-1.0,-0.124000000
138,+X,-Y,64112,-1.117000000,-1.0,-0.117000000
139,+X,-Y,64192,-1.121000000,-1.0,-0.121000000
140,+X,-Y,64272,-1.121000000,-1.0,-0.121000000
141,+X,-Y,64353,-1.121000000,-1.0,-0.121000000
142,+X,-Y,64432,-1.128000000,-1.0,-0.128000000
143,+X,-Y,64513,-1.113000000,-1.0,-0.113000000
144,+X,-Y,64592,-1.121000000,-1.0,-0.121000000
145,+X,-Y,64673,-1.119000000,-1.0,-0.119000000
146,+X,-Y,64752,-1.124000000,-1.0,-0.124000000
147,+X,-Y,64832,-1.118000000,-1.0,-0.118000000
148,+X,-Y,64913,-1.117000000,-1.0,-0.117000000
149,+X,-Y,64992,-1.117000000,-1.0,-0.117000000
150,+X,-Y,65073,-1.136000000,-1.0,-0.136000000
151,+X,-Y,65152,-1.113000000,-1.0,-0.113000000
152,+X,-Y,65233,-1.124000000,-1.0,-0.124000000
153,+X,-Y,65312,-1.121000000,-1.0,-0.121000000
154,+X,-Y,65393,-1.122000000,-1.0,-0.122000000
155,+X,-Y,65472,-1.121000000,-1.0,-0.121000000
156,+X,-Y,65552,-1.124000000,-1.0,-0.124000000
157,+X,-Y,65633,-1.125000000,-1.0,-0.125000000
158,+X,-Y,65712,-1.121000000,-1.0,-0.121000000
159,+X,-Y,65793,-1.115000000,-1.0,-0.115000000
160,+X,-Y,65872,-1.121000000,-1.0,-0.121000000
161,+X,-Y,65953,-1.121000000,-1.0,-0.121000000
162,+X,-Y,66032,-1.122000000,-1.0,-0.122000000
163,+X,-Y,66113,-1.124000000,-1.0,-0.124000000
164,+X,-Y,66192,-1.125000000,-1.0,-0.125000000
165,+X,-Y,66272,-1.127000000,-1.0,-0.127000000
166,+X,-Y,66353,-1.119000000,-1.0,-0.119000000
167,+X,-Y,66432,-1.117000000,-1.0,-0.117000000
168,+X,-Y,66513,-1.122000000,-1.0,-0.122000000
169,+X,-Y,66592,-1.124000000,-1.0,-0.124000000
170,+X,-Y,66673,-1.124000000,-1.0,-0.124000000
171,+X,-Y,66752,-1.128000000,-1.0,-0.128000000
172,+X,-Y,66833,-1.124000000,-1.0,-0.124000000
173,+X,-Y,66912,-1.121000000,-1.0,-0.121000000
174,+X,-Y,66992,-1.121000000,-1.0,-0.121000000
175,+X,-Y,67073,-1.121000000,-1.0,-0.121000000
176,+X,-Y,67152,-1.117000000,-1.0,-0.117000000
177,+X,-Y,67233,-1.128000000,-1.0,-0.128000000
178,+X,-Y,67312,-1.124000000,-1.0,-0.124000000
179,+X,-Y,67393,-1.125000000,-1.0,-0.125000000
180,+X,-Y,67472,-1.124000000,-1.0,-0.124000000
181,+X,-Y,67553,-1.120000000,-1.0,-0.120000000
182,+X,-Y,67632,-1.122000000,-1.0,-0.122000000
183,+X,-Y,67712,-1.124000000,-1.0,-0.124000000
184,+X,-Y,67793,-1.121000000,-1.0,-0.121000000
185,+X,-Y,67872,-1.129000000,-1.0,-0.129000000
186,+X,-Y,67953,-1.129000000,-1.0,-0.129000000
187,+X,-Y,68032,-1.121000000,-1.0,-0.121000000
188,+X,-Y,68113,-1.124000000,-1.0,-0.124000000
189,+X,-Y,68192,-1.124000000,-1.0,-0.124000000
190,+X,-Y,68273,-1.121000000,-1.0,-0.121000000
191,+X,-Y,68352,-1.121000000,-1.0,-0.121000000
192,+X,-Y,68432,-1.128000000,-1.0,-0.128000000
193,+X,-Y,68513,-1.133000000,-1.0,-0.133000000
194,+X,-Y,68592,-1.117000000,-1.0,-0.117000000
195,+X,-Y,68673,-1.121000000,-1.0,-0.121000000
196,+X,-Y,68752,-1.121000000,-1.0,-0.121000000
197,+X,-Y,68833,-1.127000000,-1.0,-0.127000000
198,+X,-Y,68912,-1.127000000,-1.0,-0.127000000
199,+X,-Y,68993,-1.124000000,-1.0,-0.124000000
200,+X,-Y,69072,-1.124000000,-1.0,-0.124000000
201,+X,-Y,69152,-1.121000000,-1.0,-0.121000000
202,+X,-Y,69233,-1.127000000,-1.0,-0.127000000
203,+X,-Y,69312,-1.121000000,-1.0,-0.121000000
204,+X,-Y,69393,-1.121000000,-1.0,-0.121000000
205,+X,-Y,69472,-1.128000000,-1.0,-0.128000000
206,+X,-Y,69553,-1.125000000,-1.0,-0.125000000
207,+X,-Y,69632,-1.128000000,-1.0,-0.128000000
208,+X,-Y,69713,-1.128000000,-1.0,-0.128000000
209,+X,-Y,69792,-1.120000000,-1.0,-0.120000000
210,+X,-Y,69872,-1.120000000,-1.0,-0.120000000
211,+X,-Y,69953,-1.137000000,-1.0,-0.137000000
212,+X,-Y,70032,-1.108000000,-1.0,-0.108000000
213,+X,-Y,70113,-1.125000000,-1.0,-0.125000000
214,+X,-Y,70192,-1.124000000,-1.0,-0.124000000
215,+X,-Y,70273,-1.120000000,-1.0,-0.120000000
216,+X,-Y,70352,-1.121000000,-1.0,-0.121000000
217,+X,-Y,70433,-1.128000000,-1.0,-0.128000000
218,+X,-Y,70512,-1.137000000,-1.0,-0.137000000
219,+X,-Y,70592,-1.128000000,-1.0,-0.128000000
220,+X,-Y,70673,-1.125000000,-1.0,-0.125000000
221,+X,-Y,70752,-1.122000000,-1.0,-0.122000000
222,+X,-Y,70833,-1.122000000,-1.0,-0.122000000
223,+X,-Y,70912,-1.124000000,-1.0,-0.124000000
224,+X,-Y,70993,-1.128000000,-1.0,-0.128000000
225,+X,-Y,71072,-1.124000000,-1.0,-0.124000000
226,+X,-Y,71153,-1.124000000,-1.0,-0.124000000
227,+X,-Y,71232,-1.128000000,-1.0,-0.128000000
228,+X,-Y,71312,-1.124000000,-1.0,-0.124000000
229,+X,-Y,71393,-1.124000000,-1.0,-0.124000000
230,+X,-Y,71472,-1.129000000,-1.0,-0.129000000
231,+X,-Y,71553,-1.121000000,-1.0,-0.121000000
232,+X,-Y,71632,-1.133000000,-1.0,-0.133000000
233,+X,-Y,71713,-1.130000000,-1.0,-0.130000000
234,+X,-Y,71792,-1.124000000,-1.0,-0.124000000
235,+X,-Y,71872,-1.124000000,-1.0,-0.124000000
236,+X,-Y,71953,-1.124000000,-1.0,-0.124000000
237,+X,-Y,72032,-1.124000000,-1.0,-0.124000000
238,+X,-Y,72113,-1.128000000,-1.0,-0.128000000
239,+X,-Y,72192,-1.127000000,-1.0,-0.127000000
240,+X,-Y,72273,-1.121000000,-1.0,-0.121000000
241,+X,-Y,72352,-1.124000000,-1.0,-0.124000000
242,+X,-Y,72433,-1.130000000,-1.0,-0.130000000
243,+X,-Y,72512,-1.124000000,-1.0,-0.124000000
244,+X,-Y,72593,-1.133000000,-1.0,-0.133000000
245,+X,-Y,72672,-1.121000000,-1.0,-0.121000000
246,+X,-Y,72752,-1.121000000,-1.0,-0.121000000
247,+X,-Y,72833,-1.121000000,-1.0,-0.121000000
248,+X,-Y,72912,-1.124000000,-1.0,-0.124000000
249,+X,-Y,72993,-1.124000000,-1.0,-0.124000000
250,+X,-Y,73072,-1.124000000,-1.0,-0.124000000
251,+X,-Y,73153,-1.128000000,-1.0,-0.128000000
252,+X,-Y,73232,-1.124000000,-1.0,-0.124000000
253,+X,-Y,73313,-1.121000000,-1.0,-0.121000000
254,+X,-Y,73392,-1.128000000,-1.0,-0.128000000
255,+X,-Y,73473,-1.127000000,-1.0,-0.127000000
256,+X,-Y,73552,-1.124000000,-1.0,-0.124000000
257,+X,-Y,73632,-1.124000000,-1.0,-0.124000000
258,+X,-Y,73713,-1.124000000,-1.0,-0.124000000
259,+X,-Y,73792,-1.124000000,-1.0,-0.124000000
260,+X,-Y,73873,-1.140000000,-1.0,-0.140000000
261,+X,-Y,73952,-1.127000000,-1.0,-0.127000000
262,+X,-Y,74033,-1.128000000,-1.0,-0.128000000
263,+X,-Y,74112,-1.121000000,-1.0,-0.121000000
264,+X,-Y,74193,-1.125000000,-1.0,-0.125000000
265,+X,-Y,74272,-1.122000000,-1.0,-0.122000000
266,+X,-Y,74352,-1.129000000,-1.0,-0.129000000
267,+X,-Y,74433,-1.129000000,-1.0,-0.129000000
268,+X,-Y,74512,-1.113000000,-1.0,-0.113000000
269,+X,-Y,74593,-1.121000000,-1.0,-0.121000000
270,+X,-Y,74672,-1.117000000,-1.0,-0.117000000
271,+X,-Y,74753,-1.117000000,-1.0,-0.117000000
272,+X,-Y,74832,-1.121000000,-1.0,-0.121000000
273,+X,-Y,74913,-1.124000000,-1.0,-0.124000000
274,+X,-Y,74992,-1.124000000,-1.0,-0.124000000
275,+X,-Y,75072,-1.126000000,-1.0,-0.126000000
276,+X,-Y,75152,-1.121000000,-1.0,-0.121000000
277,+X,-Y,75232,-1.121000000,-1.0,-0.121000000
278,+X,-Y,75313,-1.125000000,-1.0,-0.125000000
279,+X,-Y,75392,-1.128000000,-1.0,-0.128000000
280,+X,-Y,75473,-1.122000000,-1.0,-0.122000000
281,+X,-Y,75552,-1.124000000,-1.0,-0.124000000
282,+X,-Y,75633,-1.124000000,-1.0,-0.124000000
283,+X,-Y,75712,-1.124000000,-1.0,-0.124000000
284,+X,-Y,75793,-1.137000000,-1.0,-0.137000000
285,+X,-Y,75872,-1.128000000,-1.0,-0.128000000
286,+X,-Y,75952,-1.124000000,-1.0,-0.124000000
287,+X,-Y,76032,-1.121000000,-1.0,-0.121000000
288,+X,-Y,76112,-1.121000000,-1.0,-0.121000000
289,+X,-Y,76193,-1.128000000,-1.0,-0.128000000
290,+X,-Y,76272,-1.122000000,-1.0,-0.122000000
291,+X,-Y,76353,-1.130000000,-1.0,-0.130000000
292,+X,-Y,76432,-1.129000000,-1.0,-0.129000000
293,+X,-Y,76513,-1.121000000,-1.0,-0.121000000
294,+X,-Y,76592,-1.122000000,-1.0,-0.122000000
295,+X,-Y,76672,-1.122000000,-1.0,-0.122000000
296,+X,-Y,76752,-1.124000000,-1.0,-0.124000000
297,+X,-Y,76832,-1.122000000,-1.0,-0.122000000
298,+X,-Y,76913,-1.124000000,-1.0,-0.124000000
299,+X,-Y,76992,-1.124000000,-1.0,-0.124000000
300,+X,-Y,77073,-1.121000000,-1.0,-0.121000000
301,+X,-Y,77152,-1.121000000,-1.0,-0.121000000
302,+X,-Y,77233,-1.127000000,-1.0,-0.127000000
303,+X,-Y,77312,-1.127000000,-1.0,-0.127000000
304,+X,-Y,77392,-1.121000000,-1.0,-0.121000000
305,+X,-Y,77472,-1.127000000,-1.0,-0.127000000
306,+X,-Y,77552,-1.124000000,-1.0,-0.124000000
307,+X,-Y,77633,-1.129000000,-1.0,-0.129000000
308,+X,-Y,77712,-1.129000000,-1.0,-0.129000000
309,+X,-Y,77793,-1.121000000,-1.0,-0.121000000
310,+X,-Y,77872,-1.121000000,-1.0,-0.121000000
311,+X,-Y,77953,-1.129000000,-1.0,-0.129000000
312,+X,-Y,78032,-1.117000000,-1.0,-0.117000000
313,+X,-Y,78112,-1.130000000,-1.0,-0.130000000
314,+X,-Y,78192,-1.125000000,-1.0,-0.125000000
315,+X,-Y,78272,-1.117000000,-1.0,-0.117000000
316,+X,-Y,78353,-1.122000000,-1.0,-0.122000000
317,+X,-Y,78432,-1.128000000,-1.0,-0.128000000
318,+X,-Y,78513,-1.116000000,-1.0,-0.116000000
319,+X,-Y,78592,-1.122000000,-1.0,-0.122000000
320,+X,-Y,78673,-1.122000000,-1.0,-0.122000000
321,+X,-Y,78752,-1.129000000,-1.0,-0.129000000
322,+X,-Y,78832,-1.120000000,-1.0,-0.120000000
323,+X,-Y,78912,-1.121000000,-1.0,-0.121000000
324,+X,-Y,78992,-1.124000000,-1.0,-0.124000000
325,+X,-Y,79073,-1.124000000,-1.0,-0.124000000
326,+X,-Y,79152,-1.117000000,-1.0,-0.117000000
327,+X,-Y,79233,-1.119000000,-1.0,-0.119000000
328,+X,-Y,79312,-1.119000000,-1.0,-0.119000000
329,+X,-Y,79393,-1.130000000,-1.0,-0.130000000
330,+X,-Y,79472,-1.124000000,-1.0,-0.124000000
331,+X,-Y,79552,-1.137000000,-1.0,-0.137000000
332,+X,-Y,79632,-1.137000000,-1.0,-0.137000000
333,+X,-Y,79712,-1.121000000,-1.0,-0.121000000
334,+X,-Y,79793,-1.124000000,-1.0,-0.124000000
335,+X,-Y,79872,-1.127000000,-1.0,-0.127000000
336,+X,-Y,79953,-1.121000000,-1.0,-0.121000000
337,+X,-Y,80032,-1.121000000,-1.0,-0.121000000
338,+X,-Y,80113,-1.128000000,-1.0,-0.128000000
339,+X,-Y,80192,-1.124000000,-1.0,-0.124000000
340,+X,-Y,80273,-1.121000000,-1.0,-0.121000000
341,+X,-Y,80352,-1.133000000,-1.0,-0.133000000
342,+X,-Y,80432,-1.128000000,-1.0,-0.128000000
343,+X,-Y,80513,-1.123000000,-1.0,-0.123000000
344,+X,-Y,80592,-1.123000000,-1.0,-0.123000000
345,+X,-Y,80673,-1.136000000,-1.0,-0.136000000
346,+X,-Y,80752,-1.119000000,-1.0,-0.119000000
347,+X,-Y,80833,-1.128000000,-1.0,-0.128000000
348,+X,-Y,80912,-1.120000000,-1.0,-0.120000000
349,+X,-Y,80992,-1.121000000,-1.0,-0.121000000
350,+X,-Y,81072,-1.121000000,-1.0,-0.121000000
351,+X,-Y,81152,-1.125000000,-1.0,-0.125000000
352,+X,-Y,81233,-1.129000000,-1.0,-0.129000000
353,+X,-Y,81312,-1.127000000,-1.0,-0.127000000
354,+X,-Y,81393,-1.122000000,-1.0,-0.122000000
355,+X,-Y,81472,-1.122000000,-1.0,-0.122000000
356,+X,-Y,81553,-1.122000000,-1.0,-0.122000000
357,+X,-Y,81632,-1.124000000,-1.0,-0.124000000
358,+X,-Y,81712,-1.123000000,-1.0,-0.123000000
359,+X,-Y,81792,-1.137000000,-1.0,-0.137000000
360,+X,-Y,81872,-1.121000000,-1.0,-0.121000000
361,+X,-Y,81953,-1.124000000,-1.0,-0.124000000
362,+X,-Y,82032,-1.125000000,-1.0,-0.125000000
363,+X,-Y,82113,-1.119000000,-1.0,-0.119000000
364,+X,-Y,82192,-1.120000000,-1.0,-0.120000000
365,+X,-Y,82273,-1.128000000,-1.0,-0.128000000
366,+X,-Y,82352,-1.124000000,-1.0,-0.124000000
367,+X,-Y,82433,-1.124000000,-1.0,-0.124000000
368,+X,-Y,82512,-1.124000000,-1.0,-0.124000000
369,+X,-Y,82592,-1.127000000,-1.0,-0.127000000
370,+X,-Y,82673,-1.128000000,-1.0,-0.128000000
371,+X,-Y,82752,-1.125000000,-1.0,-0.125000000
372,+X,-Y,82833,-1.119000000,-1.0,-0.119000000
373,+X,-Y,82912,-1.122000000,-1.0,-0.122000000
374,+X,-Y,82993,-1.121000000,-1.0,-0.121000000
375,+X,-Y,83072,-1.122000000,-1.0,-0.122000000
376,+X,-Y,83152,-1.124000000,-1.0,-0.124000000
377,+X,-Y,83233,-1.125000000,-1.0,-0.125000000
378,+X,-Y,83312,-1.124000000,-1.0,-0.124000000
379,+X,-Y,83393,-1.121000000,-1.0,-0.121000000
380,+X,-Y,83472,-1.121000000,-1.0,-0.121000000
381,+X,-Y,83553,-1.121000000,-1.0,-0.121000000
382,+X,-Y,83632,-1.125000000,-1.0,-0.125000000
383,+X,-Y,83713,-1.129000000,-1.0,-0.129000000
384,+X,-Y,83792,-1.125000000,-1.0,-0.125000000
385,+X,-Y,83873,-1.127000000,-1.0,-0.127000000
386,+X,-Y,83952,-1.127000000,-1.0,-0.127000000
387,+X,-Y,84032,-1.128000000,-1.0,-0.128000000
388,+X,-Y,84113,-1.122000000,-1.0,-0.122000000
389,+X,-Y,84192,-1.117000000,-1.0,-0.117000000
390,+X,-Y,84273,-1.120000000,-1.0,-0.120000000
391,+X,-Y,84352,-1.127000000,-1.0,-0.127000000
392,+X,-Y,84433,-1.122000000,-1.0,-0.122000000
393,+X,-Y,84512,-1.122000000,-1.0,-0.122000000
394,+X,-Y,84593,-1.117000000,-1.0,-0.117000000
395,+X,-Y,84672,-1.121000000,-1.0,-0.121000000
396,+X,-Y,84752,-1.137000000,-1.0,-0.137000000
397,+X,-Y,84833,-1.117000000,-1.0,-0.117000000
398,+X,-Y,84912,-1.124000000,-1.0,-0.124000000
399,+X,-Y,84993,-1.122000000,-1.0,-0.122000000
400,+X,-Y,85072,-1.127000000,-1.0,-0.127000000
401,+X,-Y,85153,-1.121000000,-1.0,-0.121000000
402,+X,-Y,85232,-1.128000000,-1.0,-0.128000000
403,+X,-Y,85313,-1.116000000,-1.0,-0.116000000
404,+X,-Y,85392,-1.127000000,-1.0,-0.127000000
405,+X,-Y,85472,-1.127000000,-1.0,-0.127000000
406,+X,-Y,85553,-1.125000000,-1.0,-0.125000000
407,+X,-Y,85632,-1.124000000,-1.0,-0.124000000
408,+X,-Y,85713,-1.128000000,-1.0,-0.128000000
409,+X,-Y,85792,-1.121000000,-1.0,-0.121000000
410,+X,-Y,85873,-1.124000000,-1.0,-0.124000000
411,+X,-Y,85952,-1.128000000,-1.0,-0.128000000
412,+X,-Y,86033,-1.124000000,-1.0,-0.124000000
413,+X,-Y,86112,-1.124000000,-1.0,-0.124000000
414,+X,-Y,86192,-1.127000000,-1.0,-0.127000000
415,+X,-Y,86273,-1.120000000,-1.0,-0.120000000
416,+X,-Y,86352,-1.108000000,-1.0,-0.108000000
417,+X,-Y,86433,-1.108000000,-1.0,-0.108000000
418,+X,-Y,86512,-1.114000000,-1.0,-0.114000000
419,+X,-Y,86593,-1.124000000,-1.0,-0.124000000
420,+X,-Y,86672,-1.127000000,-1.0,-0.127000000
421,+X,-Y,86753,-1.127000000,-1.0,-0.127000000
422,+X,-Y,86832,-1.120000000,-1.0,-0.120000000
423,+X,-Y,86912,-1.127000000,-1.0,-0.127000000
424,+X,-Y,86993,-1.124000000,-1.0,-0.124000000
425,+X,-Y,87072,-1.122000000,-1.0,-0.122000000
426,+X,-Y,87153,-1.120000000,-1.0,-0.120000000
427,+X,-Y,87232,-1.120000000,-1.0,-0.120000000
428,+X,-Y,87313,-1.124000000,-1.0,-0.124000000
429,+X,-Y,87392,-1.124000000,-1.0,-0.124000000
430,+X,-Y,87473,-1.137000000,-1.0,-0.137000000
431,+X,-Y,87552,-1.117000000,-1.0,-0.117000000
432,+X,-Y,87632,-1.127000000,-1.0,-0.127000000
433,+X,-Y,87713,-1.124000000,-1.0,-0.124000000
434,+X,-Y,87792,-1.120000000,-1.0,-0.120000000
435,+X,-Y,87873,-1.117000000,-1.0,-0.117000000
436,+X,-Y,87952,-1.119000000,-1.0,-0.119000000
437,+X,-Y,88033,-1.122000000,-1.0,-0.122000000
438,+X,-Y,88112,-1.124000000,-1.0,-0.124000000
439,+X,-Y,88193,-1.121000000,-1.0,-0.121000000
440,+X,-Y,88272,-1.121000000,-1.0,-0.121000000
441,+X,-Y,88352,-1.121000000,-1.0,-0.121000000
442,+X,-Y,88433,-1.121000000,-1.0,-0.121000000
443,+X,-Y,88512,-1.128000000,-1.0,-0.128000000
444,+X,-Y,88593,-1.124000000,-1.0,-0.124000000
445,+X,-Y,88672,-1.125000000,-1.0,-0.125000000
446,+X,-Y,88753,-1.124000000,-1.0,-0.124000000
447,+X,-Y,88832,-1.127000000,-1.0,-0.127000000
